# Downloaded using SRA Run Selector (https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRP041736&go=go)
AvgSpotLen	BioSample	DATASTORE_filetype	Experiment	Library_Name	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	biomaterial_provider	cell_line	disease	disease_stage	population	sex	tissue	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study
196	SAMN02732133	sra	SRX534824	plate_A7_100cell	2014-05-08	4	2	SRR1274083	SRS603541	plate_A7_100cell	53	ATCC	K-562 (ATCC® CCL-243?)	chronic myelogenous leukemia (CML)	terminal blast crisis	plate single cell pool of 100 single cells	female	pleural effusion	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02732052	sra	SRX534821	NPC_7	2014-05-08	1217	848	SRR1274085	SRS603538	NPC_7	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 7			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02732053	sra	SRX534822	NPC_8	2014-05-08	1149	806	SRR1274087	SRS603539	NPC_8	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 8			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02732054	sra	SRX534823	NPC_9	2014-05-08	1157	809	SRR1274089	SRS603540	NPC_9	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 9			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
250	SAMN02732133	sra	SRX534824	plate_A7_100cell	2014-05-08	228	157	SRR1274091	SRS603541	plate_A7_100cell	53	ATCC	K-562 (ATCC® CCL-243?)	chronic myelogenous leukemia (CML)	terminal blast crisis	plate single cell pool of 100 single cells	female	pleural effusion	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
50	SAMN02732018	sra	SRX534799	Kera_37	2014-05-08	5	3	SRR1274092	SRS603516	Kera_37	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 37	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
200	SAMN02732020	sra	SRX534801	Kera_39	2014-05-08	485	321	SRR1274095	SRS603518	Kera_39	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 39	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
200	SAMN02731985	sra	SRX534802	Kera_4	2014-05-08	570	376	SRR1274097	SRS603519	Kera_4	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 4	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
200	SAMN02732021	sra	SRX534803	Kera_40	2014-05-08	776	497	SRR1274099	SRS603520	Kera_40	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 40	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
50	SAMN02731986	sra	SRX534804	Kera_5	2014-05-08	6	4	SRR1274102	SRS603521	Kera_5	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 5	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
50	SAMN02731987	sra	SRX534805	Kera_6	2014-05-08	5	3	SRR1274104	SRS603522	Kera_6	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 6	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
200	SAMN02731988	sra	SRX534806	Kera_7	2014-05-08	341	228	SRR1274105	SRS603523	Kera_7	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 7	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
200	SAMN02731989	sra	SRX534807	Kera_8	2014-05-08	454	292	SRR1274107	SRS603524	Kera_8	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 8	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
200	SAMN02731990	sra	SRX534808	Kera_9	2014-05-08	657	418	SRR1274109	SRS603525	Kera_9	neonatal	ATCC	primary epidermal keratinocytes (ATCC® PCS-200-010?)	normal		Kera single cell of 9	male	foreskin	RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
202	SAMN02732046	sra	SRX534809	NPC_1	2014-05-08	1376	958	SRR1274111	SRS603526	NPC_1	neonatal, reprogrammed, and differentiated	Dr. Guangwen, Dept. genetics, Stanford University	Neural progenitor cells obtained by differentiation of iPS line derived by Dr. Guangwen, Dept. genetics, Stanford University.	normal		NPC single cell of 1			RNA-Seq	PRJNA236018	Human	FLUIDIGM INC	public	ncbi	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2014-08-02	SRP041736
